тэрмін на мове арыгінала (eng.),пераклад тэрміна на беларускую мову,як не перакладаць,заўвагі
video ad,відэарэклама,,"Google (An ad type that runs on category pages and search results pages. This ad looks like a YouTube player, with ratings and comment counts underneath, and can be played directly within the page that contains it.)"
video ad builder,канструктар відэарэкламы,,"Google (Video Ad Builder is a video creation platform that allows advertisers to upload text, image and video content that is used as building blocks to compose a final business video. This product offers a diverse set of video templates that educates users and guides them to upload the ‘building block’ assets that the product can assemble into a high quality promotional video. Video Ad Builder users publish their completed videos to their YouTube channel, where they have full control over the finished product; they can download it, share it, embed it, or ideally promote the video using TrueView video ads.)"
video call,відэавыклік,,Samsung
Video Editor,Відэарэдактар,,Google (Cloud-based video editor. Sometimes called YouTube Video Editor.)
Video editor,Відэарэдактар,,Samsung
Video Hub,Video Hub,,Samsung
video ID,ідэнтыфікатар відэа,,"Google (The video ID is the last sequence characters in a video's playback URL. For instance, the video ID for the video at http://www.youtube.com/watch?v=HMIUT48I8tU is HMIUT48I8tU.)"
Video Maker,Стварэнне відэа,,Samsung
Video Manager,Відэаменеджар,,"Google (A section in YouTube that lists all the user's uploaded videos and allows them to edit and manage their videos. This section used to be called ""My videos."" This term should always be capitalized.)"
Video Masthead,Відэашапка,,"Google (The Video Masthead is a 1-day takeover of YouTube's homepage, on desktop, mobile or both. The video masthead showcases your client's videos with unparalleled visibility and reach on the world’s most prominent video destination, and does so with minimal implementation required.)"
video memory,відэапамяць,,Project Zomboid
Video Navigator,Відэанавігатар,,"Google (Feature name. This is part of the ""new"" channel functionality launching soon. Users can browse around AND watch a user's uploads, favorites, and playlists without leaving the channel page. This can be seen today at www.youtube.com/whitehouse. The player &amp; right hand side browser (at the top of the page) to do this browsing + watching is what we'd like to name the ""Video Navigator."")"
video player,відэапрайгравальнік,,Samsung
Video Players & Editors,Відэапрайгравальнікі і рэдактары,,"Google (A Google Play Store category: video players, remote controls, media storage...)"
video response,відэаадказ,,"Google (A video uploaded in response to another video, allowing for increased interaction between users.)"
video view attribution,атрыбуцыя праглядаў відэа,аднясенне праглядаў відэа,Google (Within YouTube Analytics – When video views on YouTube are credited to/counted towards its owner in the reports. The report will show how many video views this owner had in the given period. The attribution display name will be used to refer to the owner.)
Video Wall,Відэасцяна,,Google (A gadget that displays thumbnail images for a collection of YouTube videos on a grid. Users can scroll to see multiple pages of thumbnail images depending on the number of videos included in the video collection. The Video Wall is available for inclusion on brand channel pages.)
videos,відэа,,"Google (Regular videos. Can be videos that you took using your phone, or videos imported from other sources.), Samsung"
Vienna,Вена,,Samsung
Viet Nam,В’етнам,,CLDR
Vietnam,В'етнам,,Samsung
Vietnamese,в’етнамская,,CLDR
view,"выгляд (уласцівасць, аб’ект); прагляд (дзеянне); паказ; рэжым",,"Samsung, Google — выгляд, паказ; прагляд (A video playback of any duration.), рэжым
MS — выгляд, прагляд, праглядаць"
view duration,працягласць прагляду,,Google (The length of time that a person spends viewing a single video.)
View Presentations,Прагляд прэзентацыі,,Samsung
View the presenter's screen,Прагляд экрана дакладчыка,,Samsung
view type,тып выгляду,,Samsung
viewer,"глядач; акуляры; прагляд, праглядальнік",,"Google — глядач (A person who watches a video.); акуляры (Short form of “Cardboard viewer”. A device (usually made out of cardboard) for viewing virtual reality content. Viewer is often contrasted to headset or HMD (head mounted display).); прагляд;
Samsung — прагляд, праглядальнік;
Project Zomboid — прагляд (меню)"
